Date:  23:26, ÐÇÆÚÈÕ, °ËÔÂ 30, 2020
Model name:Boeing 747-simple_thermal
Study name:Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (mm)  ,Y (mm)  ,Z (mm)
385  ,70.000      ,865.58  ,-4.8191  ,-120.25
386  ,70.000      ,865.58  ,-4.8044  ,-104.84
387  ,70.000      ,865.58  ,-4.3581  ,-89.447
388  ,70.000      ,865.58  ,-3.331  ,-74.08
389  ,104.937     ,859.17  ,9.1853E-15  ,-45.629
390  ,107.727     ,847.5  ,-4.3104  ,-41.164
391  ,110.490     ,834.11  ,-6.341  ,-40.088
392  ,82.651      ,846.26  ,-6.0183  ,-94.727
393  ,81.773      ,833.38  ,-4.1776  ,-126.2
394  ,81.181      ,830.39  ,-2.5181  ,-133.75
395  ,76.422      ,841.04  ,-1.9233  ,-142.94
396  ,85.016      ,848.37  ,-5.9031  ,-81.188
397  ,92.068      ,845.9  ,-5.8712  ,-67.042
398  ,96.864      ,859.66  ,-1.8572  ,-50.496
399  ,98.657      ,853.34  ,-3.944  ,-51.227
400  ,102.225     ,840.6  ,-6.0238  ,-52.777
401  ,110.435     ,762.04  ,-25.676  ,-20.501
402  ,109.763     ,758.72  ,-25.375  ,-22.085
403  ,109.496     ,756.92  ,-23.847  ,-25.011
404  ,110.185     ,758.22  ,-21.895  ,-27.499
405  ,111.181     ,762.04  ,-21.431  ,-27.402
406  ,112.017     ,765.86  ,-20.975  ,-27.276
407  ,113.615     ,776.29  ,-33.387  ,-27.346
408  ,114.386     ,786.73  ,-45.798  ,-27.416
409  ,114.599     ,797.17  ,-58.21  ,-27.486
410  ,114.594     ,807.3  ,-70.88  ,-27.573
411  ,114.599     ,800.66  ,-70.88  ,-27.322
412  ,114.599     ,799.48  ,-70.88  ,-25.493
413  ,114.599     ,800.12  ,-70.88  ,-23.416
414  ,114.598     ,802.12  ,-70.88  ,-22.562
415  ,114.564     ,792.1  ,-59.579  ,-22.047
416  ,114.300     ,782.08  ,-48.278  ,-21.531
417  ,113.399     ,772.06  ,-36.977  ,-21.016
418  ,112.841     ,767.3  ,-34.315  ,-26.648
419  ,111.921     ,763.74  ,-29.376  ,-27.215
420  ,114.594     ,795.11  ,-65.845  ,-26.088
421  ,114.250     ,782.52  ,-45.778  ,-27.54
422  ,114.137     ,778.38  ,-45.778  ,-27.289
423  ,114.069     ,776.77  ,-45.778  ,-23.757
424  ,114.561     ,792.22  ,-58.443  ,-27.639
425  ,114.530     ,788.06  ,-58.26  ,-25.393
426  ,113.143     ,771.47  ,-33.054  ,-27.478
427  ,112.561     ,765.44  ,-33.297  ,-23.383
428  ,114.792     ,783.75  ,-18.707  ,-26.678
429  ,114.803     ,792.96  ,-31.334  ,-26.791
430  ,114.746     ,802.17  ,-43.962  ,-26.904
431  ,114.656     ,811.38  ,-56.589  ,-27.017
432  ,114.569     ,820.58  ,-69.216  ,-27.13
433  ,120.000     ,820.58  ,13.878  ,-25.442
434  ,120.000     ,808.63  ,15.692  ,-25.85
435  ,120.000     ,796.74  ,17.921  ,-26.27
436  ,120.000     ,784.85  ,20.11  ,-26.688
437  ,119.405     ,793.79  ,32.367  ,-26.798
438  ,118.771     ,802.72  ,44.623  ,-26.908
439  ,118.212     ,811.65  ,56.88  ,-27.017
440  ,117.805     ,820.58  ,69.137  ,-27.127
441  ,117.926     ,820.58  ,55.322  ,-26.706
442  ,118.054     ,820.58  ,41.507  ,-26.284
443  ,118.320     ,820.58  ,27.693  ,-25.863
444  ,119.325     ,805.42  ,26.914  ,-26.287
445  ,114.562     ,810.1  ,-81.399  ,-27.401
446  ,114.514     ,819.55  ,-91.918  ,-27.48
447  ,114.560     ,811.35  ,-81.292  ,-23.037
448  ,114.592     ,802.58  ,-74.213  ,-24.556
449  ,114.559     ,810.19  ,-82.587  ,-24.747
450  ,114.537     ,818.13  ,-83.699  ,-27.644
451  ,111.886     ,724.42  ,0.015229  ,-64.132
452  ,112.310     ,738.16  ,0.014297  ,-73.757
453  ,111.030     ,751.9  ,0.013364  ,-83.383
454  ,108.173     ,765.63  ,0.012431  ,-93.008
455  ,103.850     ,779.37  ,0.011499  ,-102.63
456  ,98.260      ,793.11  ,0.010566  ,-112.26
457  ,91.832      ,806.85  ,0.0096335  ,-121.88
458  ,115.584     ,804.94  ,-8.6121  ,-37.595
459  ,115.601     ,789.21  ,-9.1795  ,-37.767
460  ,114.947     ,773.49  ,-9.3547  ,-38.57
461  ,113.433     ,757.76  ,-9.1873  ,-39.072
462  ,110.885     ,742.03  ,-8.6726  ,-39.316
463  ,106.705     ,726.33  ,-7.7197  ,-39.621
464  ,112.975     ,792.69  ,-8.6657  ,-50.898
465  ,113.879     ,774.97  ,-8.6566  ,-51.14
466  ,113.794     ,758  ,-8.2265  ,-51.083
467  ,103.852     ,795.3  ,-6.644  ,-84.294
468  ,107.929     ,774.51  ,-5.2925  ,-84.294
469  ,109.884     ,761.23  ,-3.4526  ,-84.294
470  ,110.640     ,754.83  ,-1.6015  ,-84.294
471  ,101.526     ,794.74  ,-5.46  ,-94.927
472  ,105.737     ,777.31  ,-3.6618  ,-94.235
473  ,107.450     ,768.94  ,-1.7036  ,-93.926
474  ,99.170      ,795.59  ,-4.0037  ,-104.56
475  ,102.651     ,783.43  ,-1.8848  ,-103.63
