Date:  17:02, ÐÇÆÚ¶þ, ¾ÅÔÂ 22, 2020
Model name:u_cylinder_shell
Study name:Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (m)  ,Y (m)  ,Z (m)
193  ,134.702     ,6.09999990  ,0.00000000  ,6.57329321
194  ,137.636     ,6.09999990  ,0.00000000  ,7.24161625
195  ,140.491     ,6.09999990  ,0.00000000  ,7.90993929
196  ,143.278     ,6.09999990  ,0.00000000  ,8.57826233
197  ,146.010     ,6.09999990  ,0.00000000  ,9.24658585
198  ,148.687     ,6.09999990  ,0.00000000  ,9.91490936
199  ,151.298     ,6.09999990  ,0.00000000  ,10.58323288
200  ,153.817     ,6.09999990  ,0.00000000  ,11.25155544
201  ,156.186     ,6.09999990  ,0.00000000  ,11.91987896
202  ,158.322     ,6.09999990  ,0.00000000  ,12.58820248
203  ,160.114     ,6.09999990  ,0.00000000  ,13.25652599
204  ,161.458     ,6.09999990  ,0.00000000  ,13.92484856
205  ,162.309     ,6.09999990  ,0.00000000  ,14.59317207
206  ,162.721     ,6.09999990  ,0.00000000  ,15.26149559
207  ,162.817     ,6.09999990  ,0.00000000  ,15.92981815
208  ,162.717     ,6.09999990  ,0.00000000  ,16.59814262
209  ,162.519     ,6.09999990  ,0.00000000  ,17.26646423
210  ,162.282     ,6.09999990  ,0.00000000  ,17.93478775
211  ,162.040     ,6.09999990  ,0.00000000  ,18.60311127
212  ,161.811     ,6.09999990  ,0.00000000  ,19.27143478
213  ,119.763     ,6.25118923  ,-1.07536876  ,4.09083271
214  ,143.999     ,11.33387852  ,-3.66480136  ,9.96987915
215  ,143.768     ,10.67722797  ,-3.84075022  ,9.96987915
216  ,143.636     ,10.00000000  ,-3.90000010  ,9.96987915
217  ,143.619     ,9.32277203  ,-3.84075022  ,9.96987915
218  ,143.734     ,8.66612148  ,-3.66480136  ,9.96987915
219  ,143.995     ,8.05000019  ,-3.37749934  ,9.96987915
220  ,144.415     ,7.49312735  ,-2.98757243  ,9.96987915
221  ,145.001     ,7.01242590  ,-2.50687075  ,9.96987915
222  ,145.756     ,6.62250042  ,-1.94999909  ,9.96987915
223  ,146.671     ,6.33519840  ,-1.33387768  ,9.96987915
224  ,147.730     ,6.15924978  ,-0.67722708  ,9.96987915
225  ,142.366     ,11.33387852  ,-3.66480136  ,9.30522060
226  ,142.044     ,10.67722797  ,-3.84075022  ,9.30522060
227  ,141.815     ,10.00000000  ,-3.90000010  ,9.30522060
228  ,141.698     ,9.32277203  ,-3.84075022  ,9.30522060
229  ,141.713     ,8.66612148  ,-3.66480136  ,9.30522060
230  ,141.877     ,8.05000019  ,-3.37749934  ,9.30522060
231  ,142.205     ,7.49312735  ,-2.98757243  ,9.30522060
232  ,142.705     ,7.01242590  ,-2.50687075  ,9.30522060
233  ,143.376     ,6.62250042  ,-1.94999909  ,9.30522060
234  ,144.206     ,6.33519840  ,-1.33387768  ,9.30522060
235  ,145.173     ,6.15924978  ,-0.67722708  ,9.30522060
236  ,140.663     ,11.33387852  ,-3.66480136  ,8.64056206
237  ,140.234     ,10.67722797  ,-3.84075022  ,8.64056206
238  ,139.889     ,10.00000000  ,-3.90000010  ,8.64056206
239  ,139.654     ,9.32277203  ,-3.84075022  ,8.64056206
240  ,139.552     ,8.66612148  ,-3.66480136  ,8.64056206
241  ,139.607     ,8.05000019  ,-3.37749934  ,8.64056206
242  ,139.835     ,7.49312735  ,-2.98757243  ,8.64056206
243  ,140.248     ,7.01242590  ,-2.50687075  ,8.64056206
244  ,140.845     ,6.62250042  ,-1.94999909  ,8.64056206
245  ,141.610     ,6.33519840  ,-1.33387768  ,8.64056206
246  ,142.518     ,6.15924978  ,-0.67722708  ,8.64056206
247  ,138.900     ,11.33387852  ,-3.66480136  ,7.97590351
248  ,138.343     ,10.67722797  ,-3.84075022  ,7.97590351
249  ,137.862     ,10.00000000  ,-3.90000010  ,7.97590351
250  ,137.486     ,9.32277203  ,-3.84075022  ,7.97590351
251  ,137.246     ,8.66612148  ,-3.66480136  ,7.97590351
252  ,137.173     ,8.05000019  ,-3.37749934  ,7.97590351
253  ,137.292     ,7.49312735  ,-2.98757243  ,7.97590351
254  ,137.619     ,7.01242590  ,-2.50687075  ,7.97590351
255  ,138.154     ,6.62250042  ,-1.94999909  ,7.97590351
256  ,138.878     ,6.33519840  ,-1.33387768  ,7.97590351
257  ,139.763     ,6.15924978  ,-0.67722708  ,7.97590351
258  ,137.091     ,11.33387852  ,-3.66480136  ,7.31124496
259  ,136.385     ,10.67722797  ,-3.84075022  ,7.31124496
260  ,135.740     ,10.00000000  ,-3.90000010  ,7.31124496
261  ,135.192     ,9.32277203  ,-3.84075022  ,7.31124496
262  ,134.784     ,8.66612148  ,-3.66480136  ,7.31124496
263  ,134.558     ,8.05000019  ,-3.37749934  ,7.31124496
264  ,134.554     ,7.49312735  ,-2.98757243  ,7.31124496
265  ,134.796     ,7.01242590  ,-2.50687075  ,7.31124496
266  ,135.284     ,6.62250042  ,-1.94999909  ,7.31124496
267  ,135.997     ,6.33519840  ,-1.33387768  ,7.31124496
268  ,136.898     ,6.15924978  ,-0.67722708  ,7.31124496
269  ,135.252     ,11.33387852  ,-3.66480136  ,6.64658642
270  ,134.370     ,10.67722797  ,-3.84075022  ,6.64658642
271  ,133.528     ,10.00000000  ,-3.90000010  ,6.64658642
272  ,132.768     ,9.32277203  ,-3.84075022  ,6.64658642
